"campusId","campus","slug","requirement","evidenceField","evidenceValue","status","ownerGate","nextAction"
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Campus name","post_title","Cherokee Academy by Chroma, Canton GA","Present","No","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Current director biography","director","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Ages served","ages","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Current school pickups","school_pickups","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","GA Pre-K availability","ga_pre_k","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Quality Rated status","quality_rated","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Parent testimonials for that campus","testimonial","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Schedule-a-tour form","tour_link","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Local FAQ","faq","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4406","Cherokee Academy by Chroma, Canton GA","cherokee-campus","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Campus name","post_title","Downtown Duluth","Present","No","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Current director biography","director","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Ages served","ages","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Current school pickups","school_pickups","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","GA Pre-K availability","ga_pre_k","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Quality Rated status","quality_rated","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Parent testimonials for that campus","testimonial","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Schedule-a-tour form","tour_link","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Local FAQ","faq","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4289","Downtown Duluth","pleasanthill-campus-duluth","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Campus name","post_title","Ellenwood Campus","Present","No","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Current director biography","director","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Ages served","ages","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Current school pickups","school_pickups","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","GA Pre-K availability","ga_pre_k","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4410","Ellenwood Campus","ellenwood-campus","Quality Rated status","quality_rated","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"4410","Ellenwood Campus","ellenwood-campus","Parent testimonials for that campus","testimonial","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4410","Ellenwood Campus","ellenwood-campus","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4410","Ellenwood Campus","ellenwood-campus","Schedule-a-tour form","tour_link","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Local FAQ","faq","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4410","Ellenwood Campus","ellenwood-campus","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Campus name","post_title","Grayson Campus","Present","No","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Real campus photography","images","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Current director biography","director","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Ages served","ages","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Current school pickups","school_pickups","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","GA Pre-K availability","ga_pre_k","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Quality Rated status","quality_rated","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Parent testimonials for that campus","testimonial","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Schedule-a-tour form","tour_link","yes","Present","No","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Local FAQ","faq","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6781","Grayson Campus","chroma-early-learning-academy-grayson","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Campus name","post_title","Johns Creek Campus","Present","No","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Current director biography","director","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Ages served","ages","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Current school pickups","school_pickups","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","GA Pre-K availability","ga_pre_k","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4237","Johns Creek Campus","johns-creek","Quality Rated status","quality_rated","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"4237","Johns Creek Campus","johns-creek","Parent testimonials for that campus","testimonial","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4237","Johns Creek Campus","johns-creek","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4237","Johns Creek Campus","johns-creek","Schedule-a-tour form","tour_link","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Local FAQ","faq","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4237","Johns Creek Campus","johns-creek","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Campus name","post_title","Jonesboro Campus","Present","No","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Current director biography","director","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Ages served","ages","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Current school pickups","school_pickups","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","GA Pre-K availability","ga_pre_k","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4414","Jonesboro Campus","jonesboro-campus","Quality Rated status","quality_rated","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"4414","Jonesboro Campus","jonesboro-campus","Parent testimonials for that campus","testimonial","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4414","Jonesboro Campus","jonesboro-campus","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4414","Jonesboro Campus","jonesboro-campus","Schedule-a-tour form","tour_link","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Local FAQ","faq","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4414","Jonesboro Campus","jonesboro-campus","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4414","Jonesboro Campus","jonesboro-campus","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Campus name","post_title","Lawrenceville Campus","Present","No","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Current director biography","director","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Ages served","ages","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"4288","Lawrenceville Campus","lawrenceville-campus","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"4288","Lawrenceville Campus","lawrenceville-campus","Current school pickups","school_pickups","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
